subject,firstInitial,gender,school,height,htLab,proExp,proTaught,statExp,instrument,sport
5,P,Female,Williamsville_East,5.8,ft,1,No,Yes,1,1
6,T,Male,Iroquois,5.5,ft,0,No,Yes,0,2
7,K,Female,North_Collins,5.25,ft,0,No,No,0,0
8,I,Male,Williamsville_East,5.7,ft,2,Yes,Yes,1,0
9,M,Male,Williamsville_South,5.75,ft,2,Yes,No,2,0
10,A,Male,St_Joes,5.9,ft,0,No,Yes,3,2
11,R,Male,UTS,5.7,ft,1,Yes,No,0,1
12,D,Female,Springville,172,cm,0,No,No,5,1
13,S,Female,Williamsville_East,5.2,ft,0,No,No,2,2
14,C,Male,Clarence,5.5,ft,4,No,Yes,0,0
15,K,Male,Williamsville_North,5.2,ft,2,Yes,Yes,1,2
16,B,Male,Williamsville_North,1,Bhaskar,3,Yes,Yes,2,2
