X,Alloy Strength, Alloy Toughness, Alloy Density
Ag,114.63,1.91,3.66
Au,118.89,1.89,3.67
Cd,111.94,1.81,3.73
Co,112.83,1.94,3.45
Cr,119.18,1.79,3.39
Cu,115.92,1.96,3.45
Fe,114.02,1.8,3.38
Hf,113.03,1.74,3.86
Hg,115.12,1.78,3.97
Ir,125.63,2.03,3.59
Mn,119.6,2.49,3.45
Mo,122.6,1.88,3.53
Nb,118.96,1.78,3.62
Ni,119.19,1.97,3.44
Os,124.44,1.97,3.58
Pd,119.7,1.95,3.60
Pt,122.77,1.95,3.60
Re,121.83,1.94,3.62
Rh,122.68,2.14,3.56
Ru,122.84,2.5,3.57
Sc,107.77,1.74,3.97
Ta,119.98,1.75,3.62
V,118.09,1.75,3.48
W,124.17,1.8,3.55
Y,103.18,1.84,4.44
Zn,113.64,1.91,3.51
Zr,111.79,1.78,3.94
