Symbol,Atomic Number,Atomic Weight,Atomic Radius,Covalent Radius,Valence Electrons,Density,Electronegativity,Melting Point,Boiling Point,Heat Capacity,Specific Heat,Heat of Fusion,Heat of Vaporization,Thermal Conductivity,Electrical Conductivity,First Ionization Potential,Metal Classification,Bulk Modulus,Shear Modulus,Toxic,Radioactive,Price
H,1,1.00794,0.78,0.3,1,0.00008988,2.2,14.01,20.28,28.836,14.304,58.68,449.36,0.001815,,13.595,Nonmetal,0.2,,FALSE,FALSE,3
He,2,4.002602,1.28,0.93,2,0.0001787,,0.95,4.216,20.786,5.193,,84.5,0.00152,,24.58,Nonmetal,0,,FALSE,FALSE,50
Li,3,6.941,1.52,1.23,1,0.534,0.98,453.69,1620,24.86,3.6,3000,145920,0.847,0.108,5.39,Metal,11.6,4.31,FALSE,FALSE,270
Be,4,9.012182,1.13,0.89,2,1.8477,1.57,1551,3243,16.443,1.82,12200,292400,2,0.313,9.32,Metal,100.3,146,TRUE,FALSE,7500
B,5,10.811,0.83,0.88,3,2.34,2.04,2573,3931,11.087,1.02,50200,489700,0.27,1.00E-12,8.3,Metalloid,178,207,FALSE,FALSE,11000
C,6,12.011,,0.77,4,3.513,2.55,3820,,,0.71,,355800,9.9,0.00061,11.26,Nonmetal,442,,FALSE,FALSE,20
N,7,14.00674,0.71,0.75,5,0.0012506,3.04,63.29,77.4,29.124,1.04,360.4,2792.8,0.0002598,,14.54,Nonmetal,1.2,,FALSE,FALSE,3
O,8,15.9994,,0.66,6,0.001429,3.44,54.8,90.188,29.378,0.92,222.59,3409.9,0.0002674,,13.61,Nonmetal,,,FALSE,FALSE,3
F,9,18.9984032,0.709,0.58,7,0.001696,3.98,53.53,85.01,31.304,0.82,255.2,3269.8,0.000279,,17.42,Nonmetal,,,FALSE,FALSE,3
Ne,10,20.1797,,0.71,8,0.0008999,,24.48,27.1,20.786,0.904,331.7,1732.6,0.000493,,21.56,Nonmetal,1,,FALSE,FALSE,1900
Na,11,22.989768,1.54,1.54,1,0.971,0.93,370.96,1156.1,28.23,1.23,2598,96960,1.41,0.21,5.14,Metal,6.81,3.5,FALSE,FALSE,250
Mg,12,24.305,1.6,1.36,2,1.738,1.31,922,1363,24.869,1.02,8954,127400,1.56,0.226,7.64,Metal,35.4,17.7,FALSE,FALSE,6
Al,13,26.981539,1.43,1.25,3,2.698,1.61,933.52,2740,24.2,0.9,10790,293400,2.37,0.377,5.98,Metal,72.2,27.1,FALSE,FALSE,1
Si,14,28.0855,1.17,1.11,4,2.329,1.9,1683,2628,19.789,0.71,50550,384220,1.48,2.52E-12,8.15,Metalloid,98.9,40.5,FALSE,FALSE,2
P,15,30.973762,,1.1,5,1.82,2.19,317.3,553,23.824,0.77,657,12129,0.00235,1.00E-17,10.55,Nonmetal,30.4,,FALSE,FALSE,300
S,16,32.066,1.04,1.04,6,2.07,2.58,386,717.824,22.75,0.71,1717.5,,0.00269,5.00E-24,10.36,Nonmetal,17.8,,FALSE,FALSE,500
Cl,17,35.4527,,0.99,7,0.003214,3.16,172.17,239.18,33.949,0.48,3203,10200,0.000089,,13.01,Nonmetal,,,FALSE,FALSE,2
Ar,18,39.948,1.74,0.98,8,0.0017824,,83.78,87.29,20.786,0.52,1188,6447,0.0001772,,15.76,Nonmetal,1.6,,FALSE,FALSE,
K,19,39.0983,2.27,2.03,1,0.862,0.82,336.8,1047,29.6,0.75,2334,79870,1.024,0.139,4.34,Metal,3.18,1.3,FALSE,FALSE,1000
Ca,20,40.078,1.97,1.74,2,1.55,1,1112,1757,25.929,0.63,8540,153600,2,0.298,6.11,Metal,15.2,7.5,FALSE,FALSE,200
Sc,21,44.95591,1.61,1.44,3,2.989,1.36,1814,3104,25.52,0.6,14100,314200,0.158,0.0177,6.56,Metal,57.3,31.9,FALSE,FALSE,14000
Ti,22,47.88,1.45,1.32,4,4.54,1.54,1933,3560,25.06,0.52,15450,421000,0.219,0.0234,6.83,Metal,105.1,40.1,FALSE,FALSE,8
V,23,50.9415,1.32,1.22,5,6.11,1.63,2160,3650,24.89,0.49,20900,452,0.307,0.0489,6.74,Metal,161.9,47.4,TRUE,FALSE,10
Cr,24,51.9961,1.25,1.18,6,7.19,1.66,2130,2945,23.35,0.45,16900,344300,0.937,0.0774,6.76,Metal,190.3,119,FALSE,FALSE,10
Mn,25,54.93805,1.24,1.17,7,7.44,1.55,1517,2235,26.32,0.48,12050,226000,0.0782,0.00695,7.43,Metal,59.6,78,FALSE,FALSE,2
Fe,26,55.847,1.24,1.16,8,7.874,1.83,1808,3023,25.1,0.44,13800,349600,0.802,0.0993,7.9,Metal,168.3,83.1,FALSE,TRUE,70
Co,27,58.9332,1.25,1.16,9,8.9,1.88,1768,3143,24.81,0.42,16190,376500,1,0.172,7.86,Metal,191.4,75,TRUE,FALSE,50
Ni,28,58.6934,1.25,1.15,10,8.902,1.91,1726,3005,26.07,0.44,17470,370400,0.907,0.143,7.63,Metal,186.3,76.5,FALSE,FALSE,40
Cu,29,63.546,1.28,1.17,11,8.96,1.9,1356.6,2840,24.44,0.38,13050,300300,4.01,0.596,7.72,Metal,130.9,46,FALSE,FALSE,7
