"cocktail_no","generation","solution_component_no","concentration","units","name","ph"
"C0001",8,1,3.56,"M","Ammonium bromide",8
"C0001",8,2,0.1,"M","Tris",8
"C0002",8,1,3.56,"M","Ammonium bromide",10
"C0002",8,2,0.1,"M","CAPS",10
"C0003",8,1,2.38,"M","Ammonium bromide",4.2
"C0003",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0004",8,1,2.38,"M","Ammonium bromide",7.5
"C0004",8,2,0.1,"M","HEPES",7.5
"C0005",8,1,1.19,"M","Ammonium bromide",5
"C0005",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0006",8,1,1.19,"M","Ammonium bromide",7
"C0006",8,2,0.1,"M","Bis-Tris Propane",7
"C0007",8,1,1.19,"M","Ammonium bromide",9
"C0007",8,2,0.1,"M","TAPS",9
"C0008",8,1,3.74,"M","Ammonium chloride",4.2
"C0008",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0009",8,1,3.74,"M","Ammonium chloride",7
"C0009",8,2,0.1,"M","Bis-Tris Propane",7
"C0010",8,1,3.74,"M","Ammonium chloride",7.5
"C0010",8,2,0.1,"M","HEPES",7.5
"C0011",8,1,2.5,"M","Ammonium chloride",5
"C0011",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0012",8,1,2.5,"M","Ammonium chloride",9
"C0012",8,2,0.1,"M","TAPS",9
"C0013",8,1,2.5,"M","Ammonium chloride",10
"C0013",8,2,0.1,"M","CAPS",10
"C0014",8,1,1.25,"M","Ammonium chloride",6
"C0014",8,2,0.1,"M","MES monohydrate",6
"C0015",8,1,1.25,"M","Ammonium chloride",8
"C0015",8,2,0.1,"M","Tris",8
"C0016",8,1,6.46,"M","Ammonium nitrate",4.2
"C0016",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0017",8,1,6.46,"M","Ammonium nitrate",9
"C0017",8,2,0.1,"M","TAPS",9
"C0018",8,1,6.46,"M","Ammonium nitrate",10
"C0018",8,2,0.1,"M","CAPS",10
"C0019",8,1,3.23,"M","Ammonium nitrate",6
"C0019",8,2,0.1,"M","MES monohydrate",6
"C0020",8,1,3.23,"M","Ammonium nitrate",7
"C0020",8,2,0.1,"M","Bis-Tris Propane",7
"C0021",8,1,3.23,"M","Ammonium nitrate",8
"C0021",8,2,0.1,"M","Tris",8
"C0022",8,1,0.96,"M","Ammonium phosphate monobasic",8
"C0022",8,2,0.1,"M","Tris",8
"C0023",8,1,1.92,"M","Ammonium phosphate monobasic",4.2
"C0023",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0024",8,1,1.92,"M","Ammonium phosphate monobasic",6
"C0024",8,2,0.1,"M","MES monohydrate",6
"C0025",8,1,1.92,"M","Ammonium phosphate monobasic",10
"C0025",8,2,0.1,"M","CAPS",10
"C0026",8,1,0.96,"M","Ammonium phosphate monobasic",5
"C0026",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0027",8,1,0.96,"M","Ammonium phosphate monobasic",7
"C0027",8,2,0.1,"M","Bis-Tris Propane",7
"C0028",8,1,0.96,"M","Ammonium phosphate monobasic",9
"C0028",8,2,0.1,"M","TAPS",9
"C0029",8,1,2.13,"M","Ammonium phosphate dibasic",7
"C0029",8,2,0.1,"M","Bis-Tris Propane",7
"C0030",8,1,3.2,"M","Ammonium phosphate dibasic",8
"C0030",8,2,0.1,"M","Tris",8
"C0031",8,1,3.2,"M","Ammonium phosphate dibasic",9
"C0031",8,2,0.1,"M","TAPS",9
"C0032",8,1,2.13,"M","Ammonium phosphate dibasic",6
"C0032",8,2,0.1,"M","MES monohydrate",6
"C0033",8,1,2.13,"M","Ammonium phosphate dibasic",7.5
"C0033",8,2,0.1,"M","HEPES",7.5
"C0034",8,1,1.07,"M","Ammonium phosphate dibasic",4.2
"C0034",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0035",8,1,1.07,"M","Ammonium phosphate dibasic",5
"C0035",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0036",8,1,1.07,"M","Ammonium phosphate dibasic",9
"C0036",8,2,0.1,"M","TAPS",9
"C0037",8,1,3.42,"M","Ammonium sulfate",4.2
"C0037",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0038",8,1,3.42,"M","Ammonium sulfate",5
"C0038",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0039",8,1,3.42,"M","Ammonium sulfate",7
"C0039",8,2,0.1,"M","Bis-Tris Propane",7
"C0040",8,1,2.28,"M","Ammonium sulfate",7.5
"C0040",8,2,0.1,"M","HEPES",7.5
"C0041",8,1,2.28,"M","Ammonium sulfate",8
"C0041",8,2,0.1,"M","Tris",8
"C0042",8,1,1.14,"M","Ammonium sulfate",6
"C0042",8,2,0.1,"M","MES monohydrate",6
"C0043",8,1,1.14,"M","Ammonium sulfate",9
"C0043",8,2,0.1,"M","TAPS",9
"C0044",8,1,1.14,"M","Ammonium sulfate",10
"C0044",8,2,0.1,"M","CAPS",10
"C0045",8,1,1.09,"M","Calcium acetate",7
"C0045",8,2,0.1,"M","Bis-Tris Propane",7
"C0046",8,1,0.55,"M","Calcium acetate",6
"C0046",8,2,0.1,"M","MES monohydrate",6
"C0047",8,1,0.55,"M","Calcium acetate",5
"C0047",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0048",8,1,3.57,"M","Calcium chloride dihydrate",5
"C0048",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0049",8,1,0.02,"M","Calcium chloride dihydrate",4.6
"C0049",8,2,0.1,"M","Sodium acetate trihydrate",4.6
"C0049",8,3,30,"% (v/v)","MPD",4.6
"C0050",8,1,35,"% (v/v)","Glycerol anhydrous",7.51
"C0050",8,2,0.26,"M","Potassium sodium tartrate tetrahydrate",7.51
"C0051",8,1,0.26,"M","Ammonium phosphate monobasic",4.29
"C0051",8,2,35,"% (v/v)","Glycerol anhydrous",4.29
"C0052",8,1,5.6,"M","Lithium bromide",5
"C0052",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0053",8,1,5.6,"M","Lithium bromide",4.2
"C0053",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0054",8,1,3.73,"M","Lithium bromide",6
"C0054",8,2,0.1,"M","MES monohydrate",6
"C0055",8,1,3.73,"M","Lithium bromide",7
"C0055",8,2,0.1,"M","Bis-Tris Propane",7
"C0056",8,1,1.87,"M","Lithium bromide",4.2
"C0056",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0057",8,1,1.87,"M","Lithium bromide",8
"C0057",8,2,0.1,"M","Tris",8
"C0058",8,1,1.87,"M","Lithium bromide",9
"C0058",8,2,0.1,"M","TAPS",9
"C0059",8,1,6.62,"M","Lithium chloride",5
"C0059",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0060",8,1,6.62,"M","Lithium chloride",7.5
"C0060",8,2,0.1,"M","HEPES",7.5
"C0061",8,1,6.62,"M","Lithium chloride",10
"C0061",8,2,0.1,"M","CAPS",10
"C0062",8,1,4.42,"M","Lithium chloride",6
"C0062",8,2,0.1,"M","MES monohydrate",6
"C0063",8,1,4.42,"M","Lithium chloride",7
"C0063",8,2,0.1,"M","Bis-Tris Propane",7
"C0064",8,1,4.42,"M","Lithium chloride",8
"C0064",8,2,0.1,"M","Tris",8
"C0065",8,1,2.21,"M","Lithium chloride",4.2
"C0065",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0066",8,1,2.21,"M","Lithium chloride",9
"C0066",8,2,0.1,"M","TAPS",9
"C0067",8,1,2.69,"M","Magnesium acetate tetrahydrate",7
"C0067",8,2,0.1,"M","Bis-Tris Propane",7
"C0068",8,1,2.69,"M","Magnesium acetate tetrahydrate",9
"C0068",8,2,0.1,"M","TAPS",9
"C0069",8,1,1.79,"M","Magnesium acetate tetrahydrate",4.2
"C0069",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"C0070",8,1,1.79,"M","Magnesium acetate tetrahydrate",6
"C0070",8,2,0.1,"M","MES monohydrate",6
"C0071",8,1,1.79,"M","Magnesium acetate tetrahydrate",8
"C0071",8,2,0.1,"M","Tris",8
"C0072",8,1,0.9,"M","Magnesium acetate tetrahydrate",5
"C0072",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0073",8,1,0.9,"M","Magnesium acetate tetrahydrate",7
"C0073",8,2,0.1,"M","Bis-Tris Propane",7
"C0074",8,1,3.73,"M","Magnesium chloride hexahydrate",5
"C0074",8,2,0.1,"M","Sodium acetate trihydrate",5
"C0075",8,1,3.73,"M","Magnesium chloride hexahydrate",4.2
"C0075",8,2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
