"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890696200801181226",2,"C1098",0,0.43975,0.107,0.45325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890384200801181231",2,"C1464",0,0.4555,0.27675,0.26775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890001200801181235",2,"C0001",0,0.41475,0.2655,0.31975
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890488200801181228",2,"C1082",0,0.432,0.11975,0.44825
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890504200801181228",2,"C1086",0,0.4075,0.2525,0.34
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890926200801181222",2,"C1300",0,0.41,0.26725,0.32275
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890448200801181229",2,"C1372",0,0.429,0.2555,0.3155
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890336200801181231",2,"C1080",0,0.45525,0.107,0.43775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891532200801181215",2,"C1535",0,0.424,0.258,0.318
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890584200801181227",2,"C0998",0,0.46025,0.0865,0.45325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890722200801181225",2,"C1285",0,0.38825,0.29325,0.3185
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891536200801181215",2,"C1536",0,0.3985,0.286,0.3155
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890973200801181222",2,"C0064",0,0.4015,0.29025,0.30825
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890558200801181228",2,"C1280",0,0.448,0.1415,0.4105
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890624200801181227",2,"C1008",0,0.456,0.08975,0.45425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890934200801181223",2,"C1302",0,0.42225,0.276,0.30175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890327200801181231",2,"C0310",0,0.43525,0.1445,0.42025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890078200801181234",2,"C1160",0,0.4525,0.09075,0.45675
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890684200801181226",2,"C1095",0,0.4485,0.098,0.4535
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890938200801181223",2,"C1303",0,0.45725,0.09275,0.45
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891256200801181218",2,"C1130",0,0.40575,0.26775,0.3265
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890528200801181228",2,"C1092",0,0.42375,0.233,0.34325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891436200801181217",2,"C1439",0,0.4465,0.10175,0.45175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891476200801181216",2,"C1149",0,0.41425,0.2625,0.32325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890420200801181230",2,"C0993",0,0.45775,0.09,0.45225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890750200801181225",2,"C1292",0,0.44275,0.26925,0.288
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891412200801181216",2,"C1433",0,0.4445,0.10075,0.45475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890720200801181225",2,"C1104",0,0.4055,0.2335,0.361
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891422200801181216",2,"C1244",0,0.43275,0.203,0.36425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890574200801181228",2,"C1284",0,0.45725,0.09125,0.4515
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891018200801181221",2,"C1215",0,0.4145,0.26825,0.31725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890628200801181226",2,"C1381",0,0.475,0.08025,0.44475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891404200801181216",2,"C1431",0,0.45625,0.09575,0.448
